subdomain,ip,provider,detail
114prnt1.soceco.uci.edu,128.195.139.139,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
1129ns2prnt.ps.uci.edu,128.200.78.159,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
114prnt2.soceco.uci.edu,128.195.139.140,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
1119ion.hs.uci.edu,128.195.144.5,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
1253weiselprinter.hs.uci.edu,128.195.189.181,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
140c1.eng.uci.edu,128.195.183.218,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
1416ion.hs.uci.edu,128.195.144.4,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149027.ofas.uci.edu,128.200.149.27,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149005.ofas.uci.edu,128.200.149.5,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
1414ion.hs.uci.edu,128.195.144.3,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149012.ofas.uci.edu,128.200.149.12,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149011.ofas.uci.edu,128.200.149.11,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149024.ofas.uci.edu,128.200.149.24,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149029.ofas.uci.edu,128.200.149.29,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149033.ofas.uci.edu,128.200.149.33,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149035.ofas.uci.edu,128.200.149.35,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149039.ofas.uci.edu,128.200.149.39,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149036.ofas.uci.edu,128.200.149.36,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149032.ofas.uci.edu,128.200.149.32,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149048.ofas.uci.edu,128.200.149.48,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149044.ofas.uci.edu,128.200.149.44,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149047.ofas.uci.edu,128.200.149.47,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149050.ofas.uci.edu,128.200.149.50,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149100.ofas.uci.edu,128.200.149.100,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
149101.ofas.uci.edu,128.200.149.101,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
