subdomain,ip,provider,detail
www.research.socsci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.reclaimtest20220301.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.reeve.uci.edu,198.202.211.1,Cloudflare,"AS209242 CLOUDFLARESPECTRUM Cloudflare, Inc., US"
www.research.uci.edu,162.159.134.42,Cloudflare,edge
www.scienceproject.cfep.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.scienceproject.cfep.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.scienceproject.cfep.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.resteele.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.sagescholars.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.sagescholars.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.sagescholars.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.replay.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.replay.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.replay.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
