subdomain,ip,provider,detail
www.jianglab.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.jianglab.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.jianglab.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.imageworks.bio.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.imageworks.bio.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.iup.ce.uci.edu,74.115.51.9,Other,"AS27647 WEEBLY - Weebly, Inc., US"
www.imageworks.bio.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.iup.ce.uci.edu,74.115.51.8,Other,"AS27647 WEEBLY - Weebly, Inc., US"
www.isep.due.uci.edu,34.216.237.15,AWS,AMAZON/us-west-2
www.join.uci.edu,35.80.145.4,AWS,AMAZON/us-west-2
www.isep.due.uci.edu,34.215.37.29,AWS,AMAZON/us-west-2
www.inclusion.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.inclusion.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.inclusion.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.imca.uci.edu,35.160.148.34,AWS,AMAZON/us-west-2
www.imca.uci.edu,35.83.96.59,AWS,AMAZON/us-west-2
www.ip.extension.uci.edu,52.40.165.7,AWS,AMAZON/us-west-2
www.ip.extension.uci.edu,52.10.250.14,AWS,AMAZON/us-west-2
www.lander-office.bio.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.lander-office.bio.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.lander-office.bio.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.itsneo.health.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.itsneo.health.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.itsneo.health.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.kinglong.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.langsci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.languagescience.ss.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.languagescience.ss.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.langsci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.languagescience.socsci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.languagescience.socsci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.kwentuhan.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
