url,status,server,title
https://app-02-direct-lb.trs-uclawsf-prod.aws.uci.edu,200,Apache/2.4.66 () mod_jk/1.2.49,Index - UC Law SF Time Reporting System - TRS
https://app-02-direct-lb.trs-ucb-dev.aws.uci.edu,403,Apache/2.4.66 (Amazon Linux) mod_jk/1.2.49,It works! Apache httpd
https://app-02-direct-lb.trs-ucm-prod.aws.uci.edu,200,Apache/2.4.66 () mod_jk/1.2.49,Index - UC Merced Time Reporting System - TRS
https://api-web.hs.uci.edu,301,openresty,
https://app-02-direct-lb.trs-ucm-stage.aws.uci.edu,403,Apache/2.4.66 () mod_jk/1.2.49,Test Page for the Apache HTTP Server
https://app-alb-lb.trs-ucb-dev.aws.uci.edu,403,Apache/2.4.66 (Amazon Linux) mod_jk/1.2.49,It works! Apache httpd
https://app-alb-lb.trs-ucb-stage.aws.uci.edu,403,Apache/2.4.66 (Amazon Linux) mod_jk/1.2.49,It works! Apache httpd
https://app-alb-lb.trs-ucb-prod.aws.uci.edu,200,Apache/2.4.66 (Amazon Linux) mod_jk/1.2.49,Index - UC Berkeley Time Reporting System - TRS
https://app-alb-lb.trs-ucm-prod.aws.uci.edu,200,Apache/2.4.66 () mod_jk/1.2.49,Index - UC Merced Time Reporting System - TRS
https://app-alb-lb.trs-uclawsf-prod.aws.uci.edu,200,Apache/2.4.66 () mod_jk/1.2.49,Index - UC Law SF Time Reporting System - TRS
https://app-alb-lb.trs-uclawsf-stage.aws.uci.edu,403,Apache/2.4.66 () mod_jk/1.2.48,Test Page for the Apache HTTP Server
https://app-alb-lb.trs-ucm-stage.aws.uci.edu,403,Apache/2.4.66 () mod_jk/1.2.49,Test Page for the Apache HTTP Server
https://app-02-direct-lb.trs-uclawsf-stage.aws.uci.edu,403,Apache/2.4.66 () mod_jk/1.2.49,Test Page for the Apache HTTP Server
https://app.commencement.uci.edu,403,Apache,HTTP Server Test Page powered by: Rocky Linux
http://apps-dr.oit.uci.edu,302,BigIP,
https://alluconference.uci.edu,200,openresty,All-University Leadership Conference
https://appointments.web.uci.edu,200,Microsoft-IIS/10.0,
https://app.arts.uci.edu,404,,404 Not Found
https://apps.campusorgs.uci.edu,200,Apache,UCInetID Login Required
https://apply.grad.uci.edu,302,,
https://apply.admissions.uci.edu,302,,
https://apps.ccc.uci.edu,200,Apache,UCI CCC APPS
https://apps.communications.uci.edu,403,awselb/2.0,403 Forbidden
https://antrepreneur.uci.edu,200,openresty,UCI ANTrepreneur Center | From Ideation to Implementation
https://apps.conduct.uci.edu,200,Apache,UCI AISC APPS
https://apps.dos.uci.edu,200,Apache,APPS.DOS Home
https://apps.hr.uci.edu,200,Apache/2.4.62 (Red Hat Enterprise Linux) mod_jk/1.2.49,
https://apps.grad.uci.edu,403,Apache/2.4.62 (Red Hat Enterprise Linux) mod_jk/1.2.49,Test Page for the HTTP Server on Red Hat Enterprise Linux
https://apps.ic.uci.edu,302,Microsoft-IIS/10.0,Document Moved
https://apps.orientation.uci.edu,302,Apache,
https://apps.parking.uci.edu,302,Microsoft-IIS/10.0,
https://apps.studentleadership.uci.edu,200,Apache,UCI Student Leadership
https://apps.studentcenter.uci.edu,200,Microsoft-IIS/10.0,IIS Windows Server
https://app.health.uci.edu,410,openresty,WordPress &rsaquo; Error
https://apps.studentlife.uci.edu,200,Apache,UCInetID Login Required
https://aprilu.sandbox.lib.uci.edu,403,Apache,403 Forbidden
https://apps.veteran.uci.edu,200,Apache,UCInetID Login Required
https://arb-docs-test.aws.uci.edu,200,AmazonS3,ARB Test Docs
https://arboretum.bio.uci.edu,200,nginx,UCI School of Biological Sciences &#8211; Arboretum &#8211; Arboretum
https://arboretum.test-pantheon.bio.uci.edu,200,nginx,UCI School of Biological Sciences &#8211; Arboretum &#8211; Arboretum
https://arboretum.dev-pantheon.bio.uci.edu,401,nginx,Pantheon | Site Locked
https://apw.uci.edu,200,openresty,A&amp;PW @ UCI – Academic &amp; Professional Women at UCI
https://armyrotc.due.uci.edu,200,openresty,Army Reserve Officer Training Corps | Army ROTC
https://asian-studies.uci.edu,200,Apache/2.4.62 (Rocky Linux) OpenSSL/3.5.1,Home | School of Social Sciences
https://ariaei.eng.uci.edu,200,openresty,Fariba Ariaei
https://asianstudies.uci.edu,302,,
https://arianna.ps.uci.edu,200,openresty,ARIANNA
https://archive-beta.ics.uci.edu,200,,UCI Machine Learning Repository
https://asianstudies-dev.ss.uci.edu,200,Apache/2.4.62 (Rocky Linux) OpenSSL/3.5.1,Home | School of Social Sciences
https://assist.uci.edu,404,,Microsoft Azure Web App - Error 404
https://atc-app-lb.atc-prod.aws.uci.edu,200,Microsoft-IIS/10.0,Upcoming Exams - ATC System
https://apps.law.uci.edu,200,Microsoft-IIS/10.0,UCI Law School
https://assessment.uci.edu,302,openresty,
https://apps.oaa.uci.edu,404,Microsoft-HTTPAPI/2.0,Not Found
https://atc-app-lb.atc-stage.aws.uci.edu,200,Microsoft-IIS/10.0,Upcoming Exams - ATC System
https://ath-web-lb.athletics-web-prod.aws.uci.edu,403,Apache,Test Page for the Apache HTTP Server
https://ath-web-lb.athletics-web-dev.aws.uci.edu,200,Apache,
https://atc-stage.due.aws.uci.edu,200,Microsoft-IIS/10.0,Upcoming Exams - ATC System
https://ath-web-lb.athletics-web-stage.aws.uci.edu,403,Apache,Test Page for the Apache HTTP Server
https://athletics.uci.edu,301,Apache,301 Moved Permanently
https://audit.uci.edu,200,Apache/2.4.58 (IUS) OpenSSL/1.0.2k-fips PHP/7.4.33,Home // Internal Audit Services // UC Irvine
